"card","reports","age","income","share","expenditure","owner","selfemp","dependents","months","majorcards","active"
1,1,38.58333,4.52,0.000375,124.9833,1,0,2,54,1,6
1,0,24.66667,2.275,0.04983472,9.854167,0,0,3,31,1,13
0,3,25.91667,4,3e-04,0,1,0,4,36,1,5
1,0,29.33333,3.2,0.05367281,142.8775,0,0,0,25,1,7
1,0,32.16667,4,0.06705059,546.5033,0,0,2,64,1,1
1,0,23.25,5.2,0.0444384,0,1,0,2,12,1,1
0,2,59,3.96,0.01257576,0,0,0,2,365,0,5
1,0,23.83333,7.88,0.07643376,150.79,1,1,0,77,1,9
1,0,67.16666,3.8,0.2456279,777.8217,0,0,0,36,1,6
1,0,28.41667,3.4064,0.01978,52.58,0,0,0,120,1,18
1,0,30.5,3,0.062629,256.6642,1,0,2,72,1,20
1,0,42,5,0.0006060606,309.91,1,0,2,12,1,0
1,0,30,3,0.0006936416,0,0,0,1,120,1,12
0,2,28.83333,2.45,0.03879551,0,0,0,1,26,1,3
0,0,25.91667,3,0.061896,42.615,1,0,2,40,0,16
1,0,39.5,3.2,0.016231,335.435,1,0,1,168,1,9
1,0,40.08333,4,0.07481575,170.1808,1,0,2,28,1,0
0,0,25.25,3,4e-04,0,0,0,2,7,1,0
1,0,39.5,3.6,0.06579486,4.583333,1,0,0,28,1,2
0,3,55.16667,3.4,0.03858522,0,1,0,1,28,1,10
1,0,35.25,4.8,0.1537802,43.33917,1,0,2,115,1,1
1,0,25.16667,2.6,0.00064,858.3475,0,0,0,7,1,16
1,0,44.5,2,0.01795825,59.19417,1,0,0,36,1,0
1,1,35.75,1.65,0.05119225,108.6075,0,0,0,37,1,8
1,0,35.41667,5.14,0.008949417,37.58333,0,0,0,13,1,0
1,0,30.25,4.506,0.1337421,502.2017,1,0,2,121,1,0
1,0,28.91667,2.1,0.0003125,15.58333,0,1,1,12,0,1
1,0,22.25,1.5,0.058608,548.035,0,1,0,28,1,0
1,0,34.25,3.9,0.00048,46.52333,0,0,0,30,1,13
1,0,40,3.4,0.3344596,1532.773,1,0,0,74,1,8
1,0,21.83333,2.0272,0.02532014,42.69083,0,0,0,6,0,4
1,1,29.41667,2.15,0.1270335,417.835,0,0,0,14,1,6
1,1,24.91667,3,0.0003809524,25.5075,1,0,2,40,1,5
0,0,21,2.4663,0.2689328,0,1,0,0,12,1,0
0,7,23.83333,3,4e-04,0,0,0,0,12,1,5
1,0,40.33333,3.5412,0.1834562,541.2958,1,0,6,108,1,15
0,0,31.83333,2.2845,0.1304742,0,0,0,1,52,1,0
1,0,46.33333,3.05,0.1197419,568.7742,1,0,0,36,0,4
1,0,26.75,3,0.1181043,344.4708,0,0,0,72,1,14
1,0,27.75,2.1,0.1057439,405.3517,0,0,2,28,1,2
1,1,29.83333,3,0.1085196,310.9375,0,0,0,7,1,10
1,0,23.33333,2.8896,0.02505764,193.0675,0,0,0,8,0,1
1,0,29.91667,2,0.05125828,63.91667,0,0,1,7,0,6
0,0,20.16667,1.8,0.0006666667,0,0,0,0,4,1,12
1,0,38.33333,2.6,0.004807692,9.583333,1,0,0,12,1,1
1,0,28.16667,1.8,0.0006666667,30.0525,1,1,2,26,1,2
1,1,35.58333,2,0.192044,319.49,0,0,5,156,1,7
1,0,34.83333,3.2628,0.0003677823,860.755,0,0,1,204,0,1
1,0,26.08333,2.35,0.04285106,308.0492,0,0,2,53,0,2
1,0,27.75,7,0.1105849,78.54166,1,0,1,24,1,13
0,0,49.75,3.6,0.0003333333,0,0,0,2,14,1,0
1,0,24.25,2,0.017262,93.1975,0,0,1,48,1,12
1,0,20.66667,1.7,0.07420824,105.045,0,0,1,6,1,4
1,0,23.75,2.8,0.014875,0,0,0,2,48,1,12
1,0,26.08333,2.375,0.142851,282.7258,0,0,1,34,1,2
1,1,25.41667,3,0.068022,234.0483,0,0,0,216,0,5
0,4,34.33333,4.8,0.4745083,0,0,0,0,12,1,7
1,0,21.66667,3.18,0.3058082,198.5483,1,0,0,18,0,7
0,2,44.66667,3.7,0.0006666667,0,0,0,4,33,1,6
1,0,21.16667,3.12,0.02655333,32.775,0,0,0,12,1,5
1,2,25.08333,2.5,0.00048,95.79916,1,0,1,96,1,8
1,0,19.83333,2.28,0.000625,27.78,0,0,3,36,0,5
1,0,27.91667,2.8,0.0921725,123.2225,0,0,2,12,1,16
1,0,22,2.7,0.03544926,142.9508,0,0,0,24,1,0
0,0,25.16667,4.9,0.000244898,0,0,0,0,6,1,17
1,0,26.16667,2.5,0.00048,612.8633,0,1,0,146,1,4
1,0,40.75,6,0.06123966,435.9908,1,1,2,182,1,7
1,0,42.08333,3.9,0.02921738,157.8442,1,0,0,78,1,9
1,0,21.66667,2.52,0.08961231,188.1858,0,0,1,12,1,0
1,0,32.33333,3.074,0.09166333,642.4742,0,0,0,48,1,0
0,2,30.75,2.4585,0.1503596,0,0,0,0,12,1,9
1,0,27.41667,2,0.01145455,186.3533,1,0,0,77,1,5
1,0,33,7,0.02089871,56.14917,0,0,3,144,1,0
1,0,37.33333,3.5,0.05719193,129.3733,0,0,2,13,1,9
1,0,26.58333,2.2,0.05078546,721.06,0,0,0,15,1,10
1,2,46,10.032,0.01013447,0,0,0,1,5,0,15
1,0,26.75,2.15,0.09367893,61.33333,0,0,0,18,1,11
1,0,25.08333,2.88,0.04106146,15.41667,0,0,1,7,1,7
1,0,26.5,3.05,0.1017243,258.5492,0,0,1,18,1,5
0,0,35.91667,4.2,0.04792941,8.333333,1,0,2,59,1,18
0,0,37.66667,4,3e-04,0,1,0,2,25,1,0
1,0,32.33333,5.1,0.02984697,430.6925,1,0,0,38,1,10
1,0,28.16667,1.548,0.07904787,108.6075,0,0,3,5,1,1
1,0,29.33333,2.4,0.07547747,362.7542,1,0,0,13,1,4
0,3,40.16667,2.8463,0.007026666,0,1,0,2,15,1,11
1,0,40.75,7.24,0.03904502,235.5717,1,0,2,177,1,13
0,2,41.25,2.4875,0.0002735978,0,0,0,3,87,1,9
0,0,34.5,3.3,0.0003636364,0,1,1,2,33,0,12
1,0,35,2.304,0.0005208334,0,0,0,1,12,1,23
1,1,53.66667,4,0.0002870813,299.8858,1,0,1,37,0,6
0,2,34,2.4875,0.0004824121,0,0,0,0,12,1,3
1,0,22.16667,3,0.0004277313,127.5342,0,0,5,120,1,0
1,0,43.41667,2.5,0.03435875,68.38417,0,0,0,12,1,0
0,4,53.5,1.5,8e-04,0,1,0,0,7,0,9
1,2,25.75,8.4,0.0001428571,134.2008,0,0,0,6,0,3
0,0,21.66667,4.2,0.008841666,0,0,0,0,12,1,27
1,0,32.66667,6,0.08389854,474.15,1,0,0,121,1,6
1,1,22.91667,2.5,0.07804389,234.0483,0,0,0,2,1,0
1,0,26.25,2.205,0.1082892,451.205,1,0,2,4,1,16
1,0,29.83333,2.25,0.106824,251.5208,0,0,0,161,1,0
1,0,31.75,9.9999,0.1869583,917.54,1,0,1,54,1,29
0,0,35,2.45,0.0002637363,0,1,0,0,5,1,15
0,1,22.75,1.8,0.0004137931,0,0,0,0,6,1,3
